id,season_num,ep_num,ep_name
1,1,1,Pilot
2,1,2,Cat's in the Bag…
3,1,3,…And the Bag's in the River
4,1,4,Cancer Man
5,1,5,Gray Matter
6,1,6,Crazy Handful of Nothin'
7,1,7,A No-Rough-Stuff-Type Deal
8,2,1,Seven Thirty-Seven
9,2,2,Grilled
10,2,3,Bit by a Dead Bee
11,2,4,Down
12,2,5,Breakage
13,2,6,Peekaboo
14,2,7,Negro Y Azul
15,2,8,Better Call Saul
16,2,9,4 Days Out
17,2,10,Over
18,2,11,Mandala
19,2,12,Phoenix
20,2,13,ABQ
21,3,1,No Más
22,3,2,Caballo sin Nombre
23,3,3,I.F.T.
24,3,4,Green Light
25,3,5,Más
26,3,6,Sunset
27,3,7,One Minute
28,3,8,I See You
29,3,9,Kafkaesque
30,3,10,Fly
31,3,11,Abiquiu
32,3,12,Half Measures
33,3,13,Full Measure
34,4,1,Box Cutter
35,4,2,Thirty-Eight Snub
36,4,3,Open House
37,4,4,Bullet Points
38,4,5,Shotgun
39,4,6,Cornered
40,4,7,Problem Dog
41,4,8,Hermanos
42,4,9,Bug
43,4,10,Salud
44,4,11,Crawl Space
45,4,12,End Times
46,4,13,Face Off
47,5,1,Live Free or Die
48,5,2,Madrigal
49,5,3,Hazard Pay
50,5,4,Fifty-One
51,5,5,Dead Freight
52,5,6,Buyout
53,5,7,Say My Name
54,5,8,Gliding Over All
55,5,9,Blood Money
56,5,10,Buried
57,5,11,Confessions
58,5,12,Rabid Dog
59,5,13,To'hajiilee
60,5,14,Ozymandias
61,5,15,Granite State
62,5,16,Felina
