id,ep_id,char_name,line_count
1,1,Walter White,101
2,1,Skyler White,51
3,1,Jesse Pinkman,48
4,1,Hank Schrader,26
5,1,"Walter ""Flynn"" White Jr.",20
6,1,Marie Schrader,14
7,1,"Domingo ""Krazy-8"" Molina",13
8,1,Steve Gomez,7
9,1,Bogdan Wolynetz,5
10,1,Jock,5
11,1,Emilio Koyama,4
12,1,Carmen Molina,3
13,1,E.M.T.,3
14,1,Dr. Belknap,3
15,1,Ben,1
16,1,Chad,1
17,1,Chad's Girlfriend,1
18,1,Jock's Friend #1,1
19,1,Jock's Friend #2,1
20,2,Walter White,87
21,2,Jesse Pinkman,79
22,2,Skyler White,28
23,2,Ob-Gyn,4
24,2,"Walter ""Flynn"" White Jr.",3
25,2,"Domingo ""Krazy-8"" Molina",2
26,2,Ben,2
27,2,Emilio Koyama,0
28,3,Walter White,71
29,3,"Domingo ""Krazy-8"" Molina",37
30,3,Hank Schrader,34
31,3,Marie Schrader,25
32,3,Skyler White,15
33,3,Gretchen Schwartz,15
34,3,Jesse Pinkman,14
35,3,"Walter ""Flynn"" White Jr.",12
36,3,Steve Gomez,8
37,3,Wendy Surckle,7
38,3,Sales Girl,5
39,3,Carmen Molina,1
40,3,Ben,0
41,4,Walter White,52
42,4,Jesse Pinkman,36
43,4,Skyler White,23
44,4,Hank Schrader,20
45,4,Diane Pinkman,14
46,4,Ken,13
47,4,"Walter ""Flynn"" White Jr.",12
48,4,Adam Pinkman,12
49,4,Marie Schrader,10
50,4,Jake Pinkman,10
51,4,"Christian ""Combo"" Ortega",9
52,4,Skinny Pete,7
53,4,Steve Gomez,5
54,4,Dr. Delcavoli,3
55,4,Teller #2,3
56,4,Teller #1,2
57,4,DEA Agent (S1E4),1
58,5,Walter White,72
59,5,Skyler White,66
60,5,Jesse Pinkman,33
61,5,Elliott Schwartz,30
62,5,"Brandon ""Badger"" Mayhew",30
63,5,"Walter ""Flynn"" White Jr.",16
64,5,Hank Schrader,15
65,5,Gretchen Schwartz,13
66,5,Marie Schrader,12
67,5,Louis Corbett,6
68,5,Farley,6
69,5,Off-Duty Cop,5
70,5,Manager (S1E5),3
71,5,Server,2
72,5,Soren,2
73,5,Scientist,2
74,5,Guest,2
75,5,Medical Technician,1
76,6,Walter White,98
77,6,Jesse Pinkman,49
78,6,Hank Schrader,36
79,6,Tuco Salamanca,22
80,6,Skyler White,17
81,6,Skinny Pete,12
82,6,Marie Schrader,7
83,6,"Walter ""Flynn"" White Jr.",7
84,6,Carmen Molina,6
85,6,Mrs. Pope,3
86,6,Steve Gomez,2
87,6,Hugo Archilleya,2
88,6,Office Manager,2
89,6,Gonzo,1
90,6,Student,1
91,6,No-Doze,0
92,7,Walter White,106
93,7,Jesse Pinkman,69
94,7,Skyler White,49
95,7,Marie Schrader,17
96,7,Tuco Salamanca,15
97,7,Hank Schrader,12
98,7,Dr. Delcavoli,11
99,7,Jewelry Store Owner,9
100,7,Carmen Molina,8
101,7,Jodi Nichols,7
102,7,Concerned Parent #1,7
103,7,No-Doze,6
104,7,Chemical Plant Guard,5
105,7,Concerned Parent #2,5
106,7,Police Officer,4
107,7,"Walter ""Flynn"" White Jr.",3
108,7,Manager (S1E7),3
109,7,Concerned Parent #3,2
110,7,Woman,1
111,7,Gonzo,0
112,8,Walter White,62
113,8,Hank Schrader,41
114,8,Jesse Pinkman,36
115,8,Skyler White,23
116,8,Tuco Salamanca,17
117,8,Steve Gomez,12
118,8,Marie Schrader,10
119,8,No-Doze,3
120,8,Gonzo,2
121,8,Detective Ricky,2
122,8,"Walter ""Flynn"" White Jr.",1
123,8,Rowdy Prisoner,1
124,8,Neighborhood Kid,1
125,9,Hank Schrader,37
126,9,Jesse Pinkman,32
127,9,Walter White,30
128,9,Skyler White,28
129,9,Tuco Salamanca,28
130,9,Diane Pinkman,13
131,9,Tim Roberts,13
132,9,Marie Schrader,12
133,9,Steve Gomez,6
134,9,"Walter ""Flynn"" White Jr.",5
135,9,Hector Salamanca,0
136,10,Hank Schrader,60
137,10,Jesse Pinkman,55
138,10,Walter White,54
139,10,Skyler White,25
140,10,Steve Gomez,24
141,10,"Brandon ""Badger"" Mayhew",14
142,10,"Walter ""Flynn"" White Jr.",12
143,10,Dr. Chavez,9
144,10,Wendy Surckle,8
145,10,Dr. Delcavoli,7
146,10,Marie Schrader,6
147,10,Clovis,5
148,10,Dr. Soper,5
149,10,Austin Ramey,4
150,10,George Merkert,3
151,10,Medic,2
152,10,Tio's Nurse,1
153,10,DEA Point Man,1
154,10,Hector Salamanca,0
155,11,Walter White,93
156,11,Jesse Pinkman,61
157,11,Skyler White,32
158,11,"Walter ""Flynn"" White Jr.",27
159,11,Paul Tyree,15
160,11,Diane Pinkman,10
161,11,Clovis,9
162,11,Louis Corbett,6
163,11,Adam Pinkman,5
164,11,Mr. Gardiner,5
165,11,Sara Tyree,4
166,11,Wino,3
167,11,Henry Tyree,1
168,12,Jesse Pinkman,74
169,12,Walter White,54
170,12,Hank Schrader,33
171,12,Skyler White,22
172,12,Jane Margolis,19
173,12,Marie Schrader,17
174,12,Clovis,13
175,12,George Merkert,10
176,12,"Brandon ""Badger"" Mayhew",8
177,12,Skinny Pete,7
178,12,"Christian ""Combo"" Ortega",7
179,12,"Walter ""Flynn"" White Jr.",5
180,12,Dr. Delcavoli,5
181,12,Steve Gomez,4
182,12,Office Manager,4
183,12,Spooge's Woman,1
184,12,Agent Buddy,1
185,12,Spooge,0
186,13,Jesse Pinkman,50
187,13,Walter White,49
188,13,Spooge,38
189,13,Gretchen Schwartz,37
190,13,Skyler White,27
191,13,Spooge's Woman,27
192,13,Skinny Pete,10
193,13,"Walter ""Flynn"" White Jr.",9
194,13,Carmen Molina,4
195,13,Mail Lady,4
196,13,Marie Schrader,1
197,13,Jeffrey,1
198,13,Young Boy,1
199,14,Walter White,71
200,14,Skyler White,62
201,14,Jesse Pinkman,51
202,14,Ted Beneke,27
203,14,Jane Margolis,19
204,14,Hank Schrader,15
205,14,Agent Vanco,15
206,14,Skinny Pete,13
207,14,Marie Schrader,11
208,14,"Brandon ""Badger"" Mayhew",10
209,14,"Walter ""Flynn"" White Jr.",8
210,14,"Christian ""Combo"" Ortega",7
211,14,Tortuga,7
212,14,Margaret,7
213,14,Austin Ramey,6
214,14,Federale,3
215,14,Barry,3
216,14,Biker,2
217,15,Walter White,73
218,15,Jesse Pinkman,57
219,15,Saul Goodman,50
220,15,"Brandon ""Badger"" Mayhew",32
221,15,Hank Schrader,30
222,15,Getz,30
223,15,Jane Margolis,14
224,15,Skyler White,6
225,15,Steve Gomez,6
226,15,Marie Schrader,4
227,15,Francesca Liddy,2
228,15,Guy #2,2
229,15,Guy #1,1
230,15,Hot Girl Cop,1
231,16,Walter White,117
232,16,Jesse Pinkman,105
233,16,Skyler White,16
234,16,Dr. Delcavoli,11
235,16,Marie Schrader,9
236,16,Jane Margolis,8
237,16,Saul Goodman,6
238,16,Hank Schrader,3
239,16,Technician,3
240,16,"Walter ""Flynn"" White Jr.",2
241,16,Urinal Guy,2
242,17,Jesse Pinkman,55
243,17,Walter White,52
244,17,Jane Margolis,48
245,17,Skyler White,31
246,17,"Walter ""Flynn"" White Jr.",24
247,17,Ted Beneke,19
248,17,Hank Schrader,14
249,17,Donald Margolis,7
250,17,Bob,4
251,17,Tweaky Dude,3
252,17,Thug Buddy,2
253,17,Marie Schrader,1
254,17,Carmen Molina,1
255,17,Steve Gomez,0
256,18,Walter White,75
257,18,Jesse Pinkman,34
258,18,Skyler White,28
259,18,Saul Goodman,17
260,18,Ted Beneke,17
261,18,Gustavo Fring,14
262,18,Skinny Pete,8
263,18,Jane Margolis,7
264,18,OB / GYN,7
265,18,Dr. Delcavoli,6
266,18,Victor Bravenec,5
267,18,Cynthia,5
268,18,"Christian ""Combo"" Ortega",4
269,18,Victor,3
270,18,Pollos Employee,2
271,18,Beneke Employee #1,2
272,18,Tomás Cantillo,1
273,18,Beneke Employee #2,1
274,19,Walter White,86
275,19,Jane Margolis,59
276,19,Jesse Pinkman,41
277,19,Donald Margolis,41
278,19,Skyler White,31
279,19,Marie Schrader,11
280,19,Hank Schrader,9
281,19,Saul Goodman,8
282,19,Ted Beneke,6
283,19,"Walter ""Flynn"" White Jr.",5
284,19,Tattooed Biker,2
285,19,Addict,1
286,19,NA Sponsor,1
287,19,Nurse (S2E12),1
288,19,Holly White,0
289,20,Walter White,54
290,20,Skyler White,42
291,20,"Walter ""Flynn"" White Jr.",22
292,20,Hank Schrader,19
293,20,Jesse Pinkman,15
294,20,Donald Margolis,14
295,20,Gustavo Fring,8
296,20,Local Correspondant,8
297,20,George Merkert,7
298,20,Mike Ehrmantraut,7
299,20,O.M.I. Assistant,7
300,20,Victor Bravenec,5
301,20,Stew,5
302,20,Steve Gomez,4
303,20,Dr. Delcavoli,4
304,20,Marie Schrader,3
305,20,Business Community Leader #2,3
306,20,Jane Margolis,1
307,20,O.M.I. Officer,1
308,20,Business Community Leader #1,1
309,20,Nurse (S2E13),1
310,20,Holly White,0
311,21,Walter White,37
312,21,Skyler White,28
313,21,Jesse Pinkman,13
314,21,Pamela Orbic,12
315,21,"Walter ""Flynn"" White Jr.",8
316,21,Carmen Molina,8
317,21,Marie Schrader,7
318,21,Gustavo Fring,7
319,21,Group Leader,7
320,21,Hank Schrader,5
321,21,Sad-Faced Girl,3
322,21,Barry,1
