id,ep_id,char_name,line_count
1,1,Viserys Targaryen,81
2,1,Rhaenyra Targaryen,46
3,1,Daemon Targaryen,41
4,1,Otto Hightower,30
5,1,Aemma Arryn,29
6,1,Alicent Hightower,27
7,1,Mellos,21
8,1,Corlys Velaryon,12
9,1,Lyonel Strong,8
10,1,Harrold Westerling,6
11,1,Lyman Beesbury,5
12,1,Master of Revels,4
13,1,Rhaenys Targaryen,3
14,1,Criston Cole,3
15,1,Boremund Baratheon,3
16,1,Randyll Barret,3
17,1,Mysaria,2
18,1,Mickon,2
19,1,Hobert Hightower,1
20,1,Dragonkeeper Elder (S1E1),1
21,1,Jaehaerys I Targaryen,1
22,1,Ryam Redwyne,1
23,1,Rickon Stark,1
24,1,Dragonkeeper #1,1
25,1,Dragonkeeper #2,1
26,1,Laenor Velaryon,0
27,1,Laena Velaryon,0
28,1,Erryk Cargyll,0
29,1,Arryk Cargyll,0
30,1,High Septon,0
31,1,Gwayne Hightower,0
32,2,Viserys Targaryen,67
33,2,Rhaenyra Targaryen,43
34,2,Otto Hightower,32
35,2,Daemon Targaryen,29
36,2,Corlys Velaryon,22
37,2,Alicent Hightower,18
38,2,Lyonel Strong,9
39,2,Rhaenys Targaryen,8
40,2,Mysaria,8
41,2,Laena Velaryon,7
42,2,Harrold Westerling,6
43,2,Mellos,6
44,2,Criston Cole,4
45,2,Dragonkeeper Elder (S1E1),3
46,2,Lyman Beesbury,2
47,2,Steffon Darklyn,1
48,2,Crabfeeder,0
49,3,Viserys Targaryen,62
50,3,Rhaenyra Targaryen,49
51,3,Alicent Hightower,36
52,3,Otto Hightower,21
53,3,Jason Lannister,19
54,3,Criston Cole,11
55,3,Triarchy Lieutenant,7
56,3,Tyland Lannister,6
57,3,Laenor Velaryon,6
58,3,Hobert Hightower,6
59,3,Howland Sharp,6
60,3,Lyonel Strong,5
61,3,Vaemond Velaryon,5
62,3,Ceira Lannister,5
63,3,Samwell,5
64,3,Corlys Velaryon,4
65,3,Joffrey Lonmouth,2
66,3,Joselyn Redwyne,2
67,3,Addam,2
68,3,Daemon Targaryen,1
69,3,Larys Strong,1
70,3,Harwin Strong,1
71,3,Lynesse Hightower,1
72,3,Wet Nurse,1
73,3,Velaryon Knight,1
74,3,Harrold Westerling,0
75,3,Aegon Targaryen,0
76,3,Royal Handmaiden,0
77,3,Crabfeeder,0
78,4,Rhaenyra Targaryen,63
79,4,Viserys Targaryen,51
80,4,Daemon Targaryen,32
81,4,Alicent Hightower,29
82,4,Otto Hightower,21
83,4,Criston Cole,10
84,4,Mysaria,5
85,4,Boremund Baratheon,5
86,4,Mellos,3
87,4,Harwin Strong,3
88,4,Jerrel Bracken,3
89,4,Royal Handmaiden,2
90,4,Willem Blackwood,2
91,4,Theatre Player,2
92,4,Beric Dondarrion,2
93,4,Soren,2
94,4,Harrold Westerling,1
95,4,Tyland Lannister,1
96,4,Lyonel Strong,1
97,4,Lyman Beesbury,1
98,4,Woman in Black,1
99,4,Vendor in Marquee,1
100,4,Silk Street Drunkard,1
101,4,Helaena Targaryen,0
102,5,Viserys Targaryen,30
103,5,Rhaenyra Targaryen,25
104,5,Corlys Velaryon,23
105,5,Alicent Hightower,22
106,5,Criston Cole,16
107,5,Rhaenys Targaryen,15
108,5,Daemon Targaryen,14
109,5,Laenor Velaryon,13
110,5,Joffrey Lonmouth,13
111,5,Larys Strong,12
112,5,Gerold Royce,12
113,5,Lyonel Strong,11
114,5,Laena Velaryon,6
115,5,Otto Hightower,5
116,5,Jason Lannister,5
117,5,Harrold Westerling,4
118,5,Harwin Strong,4
119,5,Rhea Royce,4
120,5,Mellos,3
121,5,Hobert Hightower,2
122,5,Orwyle,2
123,5,High Septon,2
124,5,Queen's Page,2
125,5,Queen's Handmaid,1
126,5,Tyland Lannister,0
127,5,Helaena Targaryen,0
128,5,Vaemond Velaryon,0
129,5,Lyman Beesbury,0
130,5,Ceira Lannister,0
131,5,Lynesse Hightower,0
132,5,Wet Nurse,0
133,6,Alicent Hightower,62
134,6,Rhaenyra Targaryen,42
135,6,Viserys Targaryen,39
136,6,Laenor Velaryon,31
137,6,Laena Velaryon,24
138,6,Harwin Strong,22
139,6,Lyonel Strong,19
140,6,Daemon Targaryen,18
141,6,Criston Cole,17
142,6,Larys Strong,14
143,6,Aegon Targaryen,14
144,6,Jacaerys Velaryon,8
145,6,Aemond Targaryen,8
146,6,Helaena Targaryen,6
147,6,Rhaena Targaryen,5
148,6,Lucerys Velaryon,5
149,6,Elinda Massey,5
